Basic Income, Rent, Food, Transportation, Utilities, Clothing, Leisure, Healthcare, People
107597,42186,19725,10074,6941,3918,2263,4394,2
76262,56501,21459,7378,11472,4049,2547,5589,3
133849,33016,22058,9814,7080,7659,4239,7265,4
153271,21965,32556,8278,7322,4186,4505,6549,1
140443,17135,30312,12278,7215,4686,2379,4649,2
106535,18859,27015,15503,10162,5565,4377,8370,3
158191,19675,46040,16451,8392,6164,4016,7828,4
165499,45621,28902,18070,9650,8385,4921,6342,1
182139,44584,76852,14880,13449,6725,4000,7639,2
159515,37977,58313,17614,9870,8815,3161,7436,3
185729,29449,37480,24987,24131,7920,3754,9930,4
292907,46704,43257,17643,8482,10484,4440,8471,1
450737,49019,54616,20880,19389,10307,6922,10062,2
219459,53997,56419,41359,13134,7818,10642,23782,3
366474,42510,81536,43255,20768,20427,8375,20977,4
60913,17807,10479,5212,3316,2519,1086,2088,1
66231,14913,16113,6951,4895,3015,1053,2336,2
46258,16392,18729,8988,5297,3635,1762,3008,3
49730,21622,15368,9797,5168,3786,2172,3196,4
101339,55771,17497,8867,4947,3219,2073,4486,1
81021,35381,18891,8958,5537,4230,2192,5013,2
77837,49014,24871,9479,7141,5801,2377,4490,3
132964,47304,50787,16174,8019,5288,2943,7665,4
139350,14477,25969,9428,8276,3633,3270,4679,1
142528,20924,34891,13820,7074,4766,3689,5479,2
84177,18320,37349,14320,7924,6738,4034,6595,3
158261,17352,36546,19877,8068,7017,4103,7337,4
151809,37155,31857,18896,11131,5371,3369,8268,1
179348,43207,48811,17362,11494,7081,5242,10166,2
155801,57519,48652,18171,11884,8503,5382,7956,3
184641,53995,52243,17999,16576,8902,5981,9656,4
271228,42858,35014,25097,12862,12504,6191,9248,1
288064,43040,52399,29022,15444,14525,6376,11313,2
257746,37116,64223,32573,22041,15403,6250,15323,3
233821,47652,66014,37207,16293,15852,13677,12640,4
63611,18977,8865,4146,1916,1507,1068,2002,1
39718,19706,11492,7803,3406,1813,1212,2601,2
62451,15232,19296,11182,8868,3237,2676,2353,3
52357,16977,29287,8030,5889,4225,2654,5487,4
75587,51886,14134,7221,4551,3007,1181,4927,1
90183,47525,20413,9399,7790,3493,2429,4866,2
67494,50258,23622,9395,11331,3993,2700,6129,3
150678,29577,24673,11678,7714,8772,4177,8275,4
142223,20874,28801,6349,8675,4650,3797,6071,1
168456,20570,25829,10067,9877,5239,2734,5247,2
122668,17968,27632,12754,8925,6950,4016,7369,3
156076,20258,46332,16547,8960,6774,5567,6563,4
153639,43440,33245,17318,10643,6522,4937,5290,1
203442,43861,57367,14176,15137,5916,3112,7035,2
174426,53378,45209,24879,10609,8458,3582,7472,3
207015,31169,55387,26536,24150,8582,4029,11760,4
273588,40793,48245,18507,9706,8511,4007,9904,1
544338,44072,58965,27742,16364,10387,6443,12455,2
198652,59999,67098,28859,15440,9483,11471,17575,3
329498,45382,92803,41379,21600,16560,8534,24007,4
58538,13876,10395,3872,3046,2244,1232,1748,1
51333,16982,16835,5622,4046,2097,1242,2242,2
42625,22620,18550,8628,5895,3198,1258,2313,3
37940,18299,19936,10931,7075,3915,2593,3197,4
103938,52105,22002,7085,5683,2713,2116,4028,1
87056,37425,25684,8272,5579,4401,2187,4961,2
73116,44495,33188,9148,6491,6116,2080,5179,3
127582,52836,42324,16959,9315,5597,3185,7738,4
124739,16348,22077,8982,7161,3588,2699,4508,1
138511,16315,31759,12179,8288,3464,4391,5422,2
97949,12843,39404,13790,9622,6787,3754,6071,3
148636,16497,33836,21000,10528,6237,4676,6412,4
216148,44611,26269,19964,10861,5579,3532,8239,1
225938,40322,47055,18243,13008,6911,5110,9569,2
188074,49762,55138,18472,11955,7212,5708,8411,3
167582,56103,54797,19732,19756,7140,5726,7299,4
213989,41835,41307,19492,11049,10582,5439,8365,1
270668,44476,61647,27948,16855,10275,6951,13038,2
332844,50430,65610,27890,23875,15699,6234,15842,3
242354,40338,60925,32467,25753,18819,9970,15686,4
71565,18326,10559,3535,1546,1619,920,1838,1
29080,17236,12778,6795,3515,2356,951,2620,2
50766,14658,16496,9657,6434,4583,2135,2143,3
50170,18876,37258,5725,8305,3416,2309,5581,4
72769,39242,12694,7523,5660,3367,1508,5298,1
99473,44235,18303,10442,7635,3719,1921,4230,2
75382,62380,22490,7154,12069,4138,3276,5338,3
141246,32087,22169,8355,7568,8477,4409,7648,4
159366,22382,32105,8877,7324,4106,5029,7599,1
128697,15623,30385,12638,8021,5273,2575,4450,2
107974,20794,30771,16940,9278,5288,4468,7707,3
161518,19409,39719,15375,7109,5511,3745,9316,4
180910,48109,25303,17587,8617,8491,5614,6232,1
180375,40213,76110,13468,13138,7311,4320,6263,2
181476,41301,75519,16038,11361,8907,3457,7192,3
173042,27837,31417,24110,21191,7910,4018,8717,4
309545,39275,48166,17643,7829,9939,4904,8739,1
491985,54022,46988,17554,19698,11202,7080,9913,2
210976,66309,64861,44469,12947,7132,10156,19691,3
394740,46228,83895,42722,20881,21841,8913,21851,4
58078,17464,10818,5688,3333,2871,1145,1946,1
74270,13972,18164,8445,5593,3085,961,2322,2
44895,16596,19584,8356,5090,4415,1485,2702,3
44137,18383,19196,9308,5125,4687,1965,3623,4
85552,52549,17543,9005,5154,3166,1969,4399,1
68687,32186,18893,9658,5506,4699,2421,5552,2
74869,49205,26811,8730,7770,6074,2241,4676,3
142334,45344,47618,15522,7579,5741,2076,8636,4
156267,11593,25555,9555,8640,3283,3759,4418,1
131383,20383,44985,13060,6920,5142,3807,5136,2
82985,16324,37013,12647,8731,6937,4012,5969,3
167434,18886,46475,19792,8318,7045,4501,6769,4
152110,38405,31660,17734,10703,4959,3275,7678,1
218561,44672,57554,17464,10218,7387,4531,9266,2
158987,64676,49373,19153,12334,7369,5699,8110,3
174873,57188,56065,17133,17430,11067,5575,9717,4
269360,52657,29676,28070,15279,13686,7419,8601,1
268542,42079,51989,27727,14019,14965,6918,13044,2
249406,39206,68018,31516,24569,17661,6429,12233,3
187360,47032,58882,31412,17307,15056,12856,13720,4
62751,17243,9118,4223,1919,1277,1000,2145,1
36487,20372,13071,6741,3066,1802,1045,3152,2
59036,13187,18677,12734,7791,3324,2959,3009,3
53347,18372,23945,7068,6474,4568,2922,5416,4
71423,51939,15701,7747,3540,3067,1508,5738,1
94921,49659,24908,12150,5741,3528,2329,4391,2
56589,48091,23681,9177,10569,3758,3071,6040,3
160130,40442,23746,10604,7177,8938,4181,6924,4
158441,22737,29408,8106,7002,4206,4446,6903,1
169881,16104,29571,10856,9496,5361,2053,4899,2
107237,17537,33377,12710,10271,5599,5593,9705,3
156460,16858,49682,18912,7419,6083,4450,5702,4
181636,46774,28638,19146,9136,6496,3983,7031,1
179466,39537,67463,15686,14030,6897,3746,7499,2
175271,48492,46090,21851,12120,7149,3307,7808,3
221336,22771,48069,27652,21724,9010,4303,9668,4
224713,44876,38335,16913,7951,10728,4418,9547,1
546827,49976,65647,23538,15329,10703,6033,13163,2
263372,50046,63246,38436,13231,10534,9701,19900,3
319031,40616,85035,44791,20040,21410,8922,22144,4
58882,18461,11490,4745,3129,2511,1154,1614,1
57490,18244,13168,6208,4704,2281,1458,1922,2
42275,17046,17866,8579,6296,3129,1814,2954,3
48526,19545,19219,10166,6158,3821,2618,3118,4
101022,40964,17342,7795,5320,2587,1974,4077,1
89755,41958,26244,8546,5125,3698,2013,4167,2
90318,48618,28874,8504,6347,5684,2154,5637,3
111372,61847,33823,17412,8466,4999,3060,6761,4
135502,16026,29174,9058,7759,3250,3754,4169,1
163667,20674,34860,12277,7301,3872,4038,5744,2
119294,17520,42474,14046,9323,6312,4331,6780,3
138523,15744,44927,19971,9391,7247,3971,6976,4
179756,42645,25392,19761,9821,5310,4073,7668,1
201968,47223,46470,23600,13734,7167,4526,9394,2
152758,55962,49180,19198,13039,6086,5809,9504,3
176379,49771,68302,18552,19207,9441,6028,7585,4
290301,46715,47639,22112,12584,13386,4932,9482,1
264622,44672,55474,27728,16704,13223,7903,12067,2
314351,46200,63577,28900,24246,15923,8002,15386,3
258110,41131,58900,38517,22635,13182,10121,12037,4
58397,17183,10391,4422,1598,1743,1209,1942,1
30589,18929,15713,8601,3440,2536,857,2492,2
56401,16701,18563,10111,6063,4974,2077,2342,3
65880,15767,36447,7009,7573,4016,2566,4713,4
80653,44335,15858,6299,4847,3437,1359,4864,1
100279,42769,18882,11145,6781,4282,2122,5147,2
73451,54244,23828,8685,11655,3664,2432,6027,3
125834,31165,23652,9283,6137,7501,4846,7797,4
147303,27404,32974,7889,9347,3872,4581,7108,1
130564,18538,31873,11534,7305,5115,2368,4825,2
103358,19529,24740,17204,12620,6107,4084,8097,3
150055,21090,36497,18119,8400,5546,2990,9232,4
183060,52439,30732,18887,10605,8009,4672,6662,1
163717,49270,72589,16063,12462,7073,3820,8478,2
144679,37038,61160,15475,11385,8723,4073,7629,3
230935,30905,40535,28230,21013,8302,4431,9541,4
271622,40309,48634,18830,8728,9364,4002,6804,1
420738,54507,58151,18601,21980,10052,6406,9087,2
196581,44098,58119,48297,11926,6798,11596,23038,3
336364,56020,73513,46248,16329,20646,7745,24786,4
51064,16631,11866,4480,3395,2310,938,1821,1
61100,15452,12469,6061,4939,3057,1194,1622,2
52727,14101,18983,10641,4967,2714,1633,3193,3
45206,20158,12827,9460,5177,3868,1793,3167,4
92789,59983,20713,8625,3810,3086,1887,2989,1
68163,36635,17724,10974,5602,3707,2082,5078,2
78427,49376,28284,10776,5875,6200,2513,4589,3
118656,49987,43507,15627,8075,5442,2635,7632,4
125124,15184,28152,9574,7814,3965,3216,4747,1
139621,22699,36580,16488,7222,4430,4150,5790,2
63207,18477,43563,13901,6608,5783,3012,6556,3
161582,19647,34966,20767,7651,6505,4357,7461,4
160054,38714,32116,21494,9820,6059,3074,7907,1
188617,47241,47988,16209,11178,5574,6065,9882,2
174449,56297,45589,17855,11769,10228,5641,7574,3
180729,56476,51577,17988,15228,8534,5461,9844,4
276179,49716,34872,17556,13293,13917,5481,10548,1
283452,43689,57487,26800,14361,12715,6413,11338,2
296944,36963,67519,27294,21778,12492,6224,15887,3
276910,45342,72565,41714,15689,14437,12573,12271,4
71504,21917,9421,3675,2099,1589,844,2202,1
34033,19999,11287,7971,3338,1844,1242,2792,2
60085,15417,21540,13152,9826,3192,2185,2200,3
58480,15951,34077,8486,5996,3758,2704,5265,4
69731,49131,14922,5973,5332,2893,1311,4531,1
76804,49638,18088,12757,8684,4117,1856,5306,2
63447,55151,24489,8736,12802,4500,2650,6826,3
153699,31027,21488,10967,7332,7439,3778,8832,4
146670,21490,29546,5402,8126,4508,4140,6270,1
150395,18292,26276,9394,9174,5590,2568,5199,2
133011,17236,26808,15434,8878,6790,4294,5730,3
174250,18319,43159,17430,8261,7024,6260,5274,4
130645,47610,38911,17289,9798,6546,4481,5226,1
221983,37069,61956,14704,12606,5668,2857,6903,2
176812,49290,40077,23759,9685,7489,2988,7816,3
184487,33675,50404,26734,26115,7495,3943,12910,4
302449,34956,48746,17898,9530,7831,4305,8681,1
633985,33024,57694,26580,16725,10174,7297,12889,2
210705,56842,62132,23426,15412,9496,11150,16387,3
343216,42631,94226,48274,22332,16646,8776,22219,4
58439,15433,8658,3319,3075,2053,1122,1642,1
59860,20520,16334,5017,3979,1864,1088,2082,2
44444,24799,20021,8886,6711,3273,1181,2391,3
34063,19050,19077,11505,7121,3727,2611,2569,4
84261,56158,24399,7252,5593,2821,2153,3202,1
83986,42872,25122,8785,5288,4061,2295,6280,2
68889,39932,32520,11268,7422,7336,1838,4842,3
137561,54336,42037,17748,10230,5689,3250,6784,4
129140,17244,20888,9104,6409,3644,2891,4226,1
127969,15986,31588,12685,7733,3617,4724,6442,2
114534,11746,40982,11413,10130,7277,3258,6500,3
148944,15318,30771,23265,10004,6492,4366,6396,4
246863,45834,23836,22388,11596,5335,3879,8332,1
226734,34598,51997,20580,12280,5363,4964,8188,2
169375,56168,49768,18398,9958,7226,7265,6717,3
186374,61284,62990,20180,20798,8347,6335,6880,4
232236,41207,32813,23431,9940,13676,5381,8168,1
279124,42313,61962,26708,17942,10322,6978,13604,2
372902,56451,62348,31644,24592,11600,6369,17265,3
200611,43626,57100,31478,25761,20456,11563,15418,4
70503,20060,9533,3214,1532,1639,948,2123,1
29655,18577,13454,7334,3996,2406,1151,2527,2
54929,15378,14512,9168,6284,4888,2152,1706,3
58295,16637,41627,6332,9786,3241,2520,6332,4
78755,37755,14105,8377,5507,3344,1643,5194,1
113521,42724,19458,10748,7169,3498,1430,4030,2
70453,57078,20346,6722,12491,4583,3889,5701,3
145302,26226,19937,8241,7867,8974,5362,6318,4
168804,20155,33521,11002,7195,4052,5708,7155,1
132846,15586,34397,10997,8033,4743,2459,3844,2
96927,19155,26432,19076,10888,5134,4199,7518,3
143804,15364,34116,14889,6326,5239,3833,7632,4
163759,50941,21513,17132,7339,8871,5186,6526,1
212955,35770,81966,15734,13901,7912,3768,6315,2
168226,41850,71229,15763,12097,7770,2786,7729,3
163305,27414,36628,22456,23361,7329,3434,8061,4
334836,38423,49169,20264,8993,9868,5499,7404,1
551869,49479,53712,21533,20545,10685,6511,9679,2
217948,67617,66780,44064,13111,6114,10344,22294,3
373406,45243,95790,41616,18865,23418,9465,21160,4
44434,16723,11410,6254,3368,2927,1099,1524,1
61110,14540,17948,9598,5327,3179,903,2260,2
46365,17480,16861,8490,4554,3992,1572,2868,3
48027,18938,20937,9979,5000,5419,1606,3666,4
87761,50908,15300,9631,5660,3952,1839,4392,1
63203,35500,19949,9984,5201,5019,2446,5660,2
63397,52797,26093,10805,8160,6761,2103,4471,3
158485,48040,44091,15953,8114,6114,2291,9928,4
163776,10794,26628,9949,8047,3512,3139,3864,1
137709,20493,43122,12664,7603,4571,2821,5002,2
83238,15686,40240,12312,8804,7021,4607,4938,3
146296,19657,47336,19283,6914,7009,4166,6073,4
130910,36701,29640,14908,10018,5750,2941,7365,1
230704,37869,65564,17011,9869,7561,4849,8630,2
141708,63533,55833,19246,13407,8653,6605,8031,3
226079,56204,65417,16095,17374,10274,6036,8443,4
238843,50756,25583,32758,15069,13463,7267,9250,1
243051,40962,52764,31101,14275,14302,7385,13636,2
280327,39973,68125,33504,22261,18863,6359,11056,3
166054,38473,61804,30243,18169,12679,12030,13589,4
48737,19926,8665,5559,2461,2038,923,1936,1
53529,17667,14009,7839,4023,2240,1443,2603,2
53831,17779,20055,10917,5165,2721,2167,2745,3
58639,18259,19959,9924,6150,3500,2551,3617,4
94130,49763,19999,7208,5174,2909,1947,3471,1
81995,51827,23058,10524,5482,4838,2169,4817,2
97540,39476,28432,14589,8637,5103,2910,6108,3
103860,49168,36261,15071,7597,5887,3758,7148,4
154314,20247,37853,9768,5985,3146,2612,5195,1
165713,17132,28695,12826,9131,4920,3034,6712,2
147947,18191,47328,13628,9049,5932,3939,6322,3
154933,20248,45652,18235,8689,7120,3996,8475,4
193591,40599,39389,12815,8287,5798,3930,7399,1
227729,47864,52342,16825,12938,7439,5229,7862,2
202423,43904,46028,19865,15184,8448,5208,8119,3
196101,39948,57873,24438,13839,8853,6000,9691,4
319242,47143,51359,19325,15653,9469,4165,10629,1
321201,47279,66869,23902,17472,13584,6863,12454,2
321860,41048,53679,30774,17039,14584,9167,16396,3
288227,50637,72198,36505,22092,18152,8932,16888,4
53075,20464,8346,4329,2071,1514,1056,1955,1
36107,20042,13347,5364,2846,2125,1091,3620,2
56000,10845,14316,11319,6634,2996,2840,2779,3
60291,16093,28834,6964,6690,4614,2788,6273,4
92420,54076,14118,7692,4121,3190,1438,5331,1
98289,45182,19249,9108,5928,3386,2113,5242,2
61404,66176,20845,9404,10120,3162,2564,6241,3
127699,43536,26311,11642,7695,6831,3884,7894,4
168302,23286,35229,8087,9807,4407,3865,6101,1
165959,19472,30593,10942,10118,6285,2340,5084,2
163479,16446,26266,14095,10026,6582,4172,8638,3
152931,15496,47333,21590,9056,6378,5640,6088,4
201706,38499,25971,18233,9906,5870,4854,4942,1
158801,36753,81915,16203,16149,6751,4644,7839,2
160774,43799,58712,22372,9868,10373,3155,7376,3
157791,30538,50744,25025,24608,8465,4030,9401,4
314892,48273,43643,19939,8655,10298,4052,10110,1
416457,46232,52359,21416,21077,12164,7772,11127,2
230295,48999,53515,35063,10756,10558,11130,23556,3
358515,47758,90079,45551,18587,22057,9484,20362,4
59332,15198,9799,5257,2897,2117,1065,1670,1
66755,19299,13738,6200,4973,3232,1545,2355,2
38885,17629,18203,8738,6054,2886,1522,3418,3
49706,17256,16847,10544,4476,3296,2281,3338,4
127840,50598,17842,7378,6346,2875,2008,3932,1
97444,37312,25157,8738,4350,3316,1837,4569,2
73451,34865,31556,11033,7845,6159,2495,5075,3
115507,57492,42839,14594,8706,5942,3388,7412,4
150112,15324,26074,8211,10871,3508,3156,4632,1
166418,22075,36220,13146,7825,4688,4200,5191,2
116190,16918,33227,13853,10456,5707,4715,6999,3
197463,19882,46393,16956,10427,6105,3484,6949,4
177100,39072,29119,16560,8597,3851,4518,8823,1
181478,48674,44373,21497,12687,7256,5251,10399,2
180854,50096,45529,20851,15283,6785,4736,8334,3
196605,43661,45146,16876,20983,7164,5924,9016,4
249897,48301,43525,23536,11160,10994,5061,9799,1
255258,45861,63286,28350,14929,11470,6025,14139,2
259576,38073,71438,32853,21245,12425,7068,18434,3
254017,50962,64392,38171,30705,15229,11465,14511,4
69932,23274,10113,3959,1703,1455,1023,1705,1
37209,20513,15427,7564,3254,1974,929,2826,2
64276,11542,19037,12001,6662,4298,2091,2363,3
55431,19883,30360,5928,7555,4156,2416,4485,4
76179,49207,12001,6768,4716,3163,1365,4405,1
103003,39237,19588,11394,7286,4222,2197,4741,2
57678,58668,23253,7572,11889,4857,2935,5473,3
142403,35102,23156,7982,5344,5667,4842,8878,4
132879,23613,35266,9131,7773,4948,4525,6308,1
156757,19787,30875,12362,8716,4135,2232,4648,2
96770,19432,26223,15645,10362,5309,4784,7019,3
134553,16568,46546,15627,9145,6003,4316,8848,4
170579,36977,35177,17085,8892,7942,4882,6432,1
189230,43596,86377,14667,13030,8318,3632,7837,2
156101,43069,64303,21489,9018,8707,3451,7999,3
205796,33982,38247,27248,24759,8011,3222,9197,4
318739,49658,39552,17107,8856,11149,3720,10794,1
474494,55382,52586,24012,22335,13240,6893,10292,2
230440,69580,53196,42154,13279,7316,10585,22437,3
298430,47082,80662,40935,20459,19994,7278,18086,4
64964,18127,7993,5974,3193,2561,1036,2210,1
60321,15781,18924,6746,4601,2976,1102,2307,2
46682,16994,22069,8791,5864,3658,1993,3080,3
50622,22812,16456,9936,5409,3834,1532,2831,4
86846,62746,17542,8421,5360,3365,2173,4955,1
63262,37092,20522,9548,5027,4011,2244,4608,2
79627,55939,24079,10213,6709,5734,2356,3818,3
131193,51828,58406,16253,6032,5220,3099,6948,4
139911,14336,25497,8423,6533,3825,3253,4447,1
141392,22117,29910,14871,7308,4088,3704,5072,2
77601,17959,32825,14070,8570,7908,3472,6682,3
141308,14840,31196,21590,7409,6476,3737,7201,4
166987,35434,34396,21135,10604,4305,3706,7890,1
195351,32139,43298,16899,13587,8834,4820,10758,2
147473,63793,46294,18015,12034,8020,6059,8912,3
175057,58182,57066,18246,19256,8032,6790,10120,4
240443,44796,33945,21069,12936,13226,5123,10895,1
277837,40016,45723,26853,11499,12835,7139,11242,2
262671,36027,65143,33253,19339,14950,6944,16554,3
219349,43033,64206,41651,15226,16400,15600,12076,4
72798,19531,8913,3784,2123,1370,934,1748,1
40243,20990,10113,8170,3408,1739,1440,2643,2
68218,19041,18179,9780,7779,3026,3159,2458,3
42298,17453,26882,7698,5330,4633,2486,6211,4
73258,53560,14161,8206,4751,3005,1159,4645,1
99525,46586,21076,9484,7710,3560,2400,4779,2
54278,47509,26550,9370,11441,4183,2598,4931,3
163866,25605,23715,11792,7647,9324,4086,8622,4
169838,21869,31061,6508,7385,4891,3766,5973,1
151859,21576,27565,11173,10835,5091,2737,5689,2
114832,18564,31214,14432,10548,6767,3849,7408,3
156365,21730,40530,17029,8738,4954,5341,6815,4
150918,41154,32989,15609,11509,5925,5520,4904,1
208552,41475,59777,15023,14472,5511,2991,7002,2
178406,54943,48240,18804,9704,7403,3861,6570,3
203591,34113,58602,27628,22495,7719,4455,12607,4
305103,35767,52555,17526,9791,8215,4006,10118,1
513905,46288,52980,29618,17868,10800,6779,12666,2
181178,62473,77164,26941,16900,9065,9768,15310,3
398149,47408,108235,44543,23796,15175,8807,28002,4
58643,16688,11304,3498,2950,2697,1190,2134,1
48255,18806,18303,5716,3784,2222,1333,2525,2
33995,24610,18389,7289,5738,3357,1249,2029,3
38966,20475,22066,12178,5954,3888,2510,3095,4
105926,53828,19114,6889,5804,2704,2234,3958,1
82277,24946,24194,7054,5637,3916,2231,3908,2
78581,40299,34751,8781,5669,6666,1791,5549,3
160060,48244,38114,17626,9908,5857,3454,7898,4
145143,14132,24151,7987,7070,3341,2788,5521,1
129789,16363,26117,12005,8187,3397,4000,5733,2
91167,14377,43164,15240,11655,7689,3875,6554,3
157465,19170,29767,18575,9837,4793,4268,6347,4
215897,36646,26674,22507,11005,5370,3460,9446,1
232721,45783,40215,20803,12109,7306,5122,10074,2
222713,50750,52507,19115,11806,7021,6990,9153,3
181680,59177,48179,18343,18547,6933,5567,7752,4
214791,51267,45233,20939,11454,9370,4182,7770,1
285007,39513,68161,28041,16046,10032,6660,10774,2
304348,54311,73339,27313,23326,16304,6087,17832,3
233851,43413,48828,31876,25131,21387,9083,13187,4
73565,17979,10877,3739,1500,1559,1040,1786,1
29197,16156,12883,6930,3966,2255,1028,2512,2
54943,14747,14723,10143,6615,4427,2237,2354,3
44564,20512,39817,5439,7849,3551,2435,5846,4
77083,46980,12783,7707,5701,3519,1570,5313,1
86610,39732,21542,11246,7868,3789,2299,4293,2
73182,68016,21088,6392,11700,4441,4061,4601,3
156053,36601,19997,8036,8093,6634,4743,6388,4
198042,22114,31809,7184,8055,3632,5430,7413,1
126096,13791,29447,15142,9163,6204,2728,4863,2
114826,19804,29622,17873,9961,5358,4366,6927,3
156068,19644,42176,12037,7083,4815,3703,8558,4
206372,54887,24294,21219,9959,7808,5236,6052,1
169619,40781,73127,12378,13876,6717,4784,6658,2
173045,37975,77362,14098,10556,7632,3626,7497,3
198953,29106,33051,24373,19352,8604,4048,7746,4
283940,35467,43867,18725,8471,11334,4693,8433,1
523138,60577,48134,14974,15475,11014,7824,9855,2
204604,62633,58632,42359,13614,7470,9841,21336,3
448597,43757,71306,50200,23094,23451,9726,20606,4
55411,14032,11188,4823,3188,3575,1426,1981,1
65425,15087,19733,7835,5622,3428,868,2305,2
44250,13783,21438,8839,5629,4452,1451,2579,3
45759,18562,19500,8978,5380,3444,1991,3452,4
82894,47160,16325,10109,5174,3342,1725,3850,1
63167,27862,17287,9131,5960,4599,2558,5588,2
67866,48160,24534,8406,6389,6138,2001,4586,3
142181,44236,55316,17950,8141,5210,2130,8150,4
155649,10985,27717,10965,9017,3381,3614,4177,1
125261,21063,40636,14651,7271,4437,3904,5297,2
81495,18389,34057,14932,8329,7099,3814,5697,3
135189,18211,51231,21142,9292,6223,4522,6710,4
134058,37198,32154,18920,8912,4905,3703,7481,1
238831,41924,58140,17792,9399,7913,4267,10415,2
164807,71251,46599,17701,10475,8369,5099,7106,3
152064,59955,62480,15517,18062,9925,6329,9987,4
285012,59079,28765,31474,15161,14053,8545,7144,1
278823,47490,52672,27460,13165,14635,6768,14116,2
265823,38114,66600,30261,24539,16814,6860,9341,3
177341,58600,56695,31008,19052,18136,11934,13719,4
64518,17647,9882,4404,1804,1244,949,2032,1
34590,25382,11150,5642,3002,1684,1185,2973,2
57036,14437,21448,15040,6938,3801,2722,2720,3
60582,16865,23385,6422,7280,4859,2952,5511,4
68014,53536,17043,7244,3535,3277,1644,4957,1
92323,44948,22392,10578,6341,3644,2439,3812,2
57272,43687,25286,9844,11012,3481,3149,5413,3
165650,42339,21642,12455,5732,6965,4115,7166,4
162532,20430,33831,8322,6670,3680,4150,6335,1
188233,15838,28030,10111,10132,5133,2259,5279,2
109073,17874,36126,14242,12173,5087,5318,10980,3
175214,18950,47887,19303,5781,6342,3984,5765,4
187524,48739,28560,21379,7293,7331,4244,6800,1
170066,42002,67184,16288,13970,6809,3063,6555,2
188249,48134,40369,23876,13886,6702,3271,7027,3
197184,27527,47126,28716,19238,10192,4136,11595,4
257261,49365,33025,19683,7450,12762,4040,9605,1
480373,45555,62700,24443,14263,11039,6237,10167,2
250282,53059,54198,34529,13407,11183,10670,20420,3
306005,48487,81170,46536,20826,20032,9047,23374,4
55058,21610,11575,4978,3403,2634,1074,1455,1
51307,20682,10852,6918,4826,2456,1551,2074,2
45686,14754,17352,8493,7035,3237,2091,3203,3
49423,20978,21309,8909,6381,3998,2798,2832,4
114440,44266,20688,8110,5874,2403,1841,4766,1
95627,39958,24773,7961,5138,3439,2163,4360,2
97759,47830,27967,8300,6705,5697,1853,6394,3
122344,69703,35474,16414,8258,5768,2824,7118,4
139744,15221,31201,8481,7680,3137,3510,2949,1
173902,20147,39849,11255,8387,4100,4046,5764,2
86813,19589,43112,13997,9180,6495,3892,6487,3
146803,14757,44683,20040,8662,8743,3468,6855,4
160987,41063,25264,19097,10644,3979,4206,8502,1
229706,41385,43872,26391,12542,6821,4104,9193,2
153500,66043,52489,21392,15498,6658,6120,9600,3
